flight,time,wind_speed,wind_angle,battery_voltage,battery_current,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,route
221,102.0,4.099999904632568,350.0,21.562816619873047,20.15774726867676,0.0449950827007193,0.08374740576425,0.0024694126597192,-0.0736330077052116,-0.0857564285397529,-0.0099461106583476,-0.0659424587432295,0.4583931288868189,-9.399318469762804,0.0,0.0,3,H
221,102.2,4.0,348.0,21.44512367248535,22.153642654418945,0.0612523147603966,0.0654785817472918,-0.0501563750973327,-0.0111722508445382,0.1858870685100555,-0.0095309512689709,-0.0293903990741819,0.4160372508689761,-9.511276277303695,0.0,0.0,3,H
221,102.3,4.0,350.0,21.437612533569336,20.92906951904297,0.0555487822527888,0.0718538740803133,-0.051833462393677,0.0229870341718196,0.0462772995233535,0.0441076233983039,0.013328922225628,0.4671431582048536,-9.712077848911283,0.0,0.0,3,H
221,102.4,3.900000095367432,351.0,21.47642517089844,21.31870651245117,0.0500220871608453,0.0663976257507574,-0.0268254298458435,-0.0356360487639904,-0.0864913463592529,-0.0095525402575731,0.0172743561118841,0.4961101183667779,-9.769920260310174,0.0,0.0,3,H
221,102.6,3.900000095367432,350.0,21.495206832885746,20.66666030883789,0.0584881962148811,0.0684363365894876,-0.0224380367910902,-0.018458554521203,-0.0569777190685272,-0.0650658681988716,-0.1118223348632455,0.5126908850669861,-9.82617222905159,0.0,0.0,3,H
221,102.8,3.799999952316284,350.0,21.496458053588867,20.467866897583008,0.0663519170365956,0.0686161065013559,-0.0046060843889878,-0.0444861128926277,-0.0481013134121894,0.1078547462821006,-0.160550179593265,0.3332904151082039,-9.745706940293312,0.0,0.0,3,H
221,102.9,3.700000047683716,348.0,21.49145126342773,20.75412940979004,0.0760517352869077,0.0713242563568594,-0.0086404427732187,-0.0150539614260196,-0.0232637245208024,-0.0684823915362358,-0.0693346341094002,0.3800034920498729,-9.677620207071303,0.0,0.0,3,H
221,103.0,3.5999999046325684,347.0,21.50897979736328,20.36449241638184,0.0641402907758665,0.0732783521291649,-0.0535636967311876,-0.0724355205893516,0.0240115709602832,-0.0493284575641155,-0.0704685051552951,0.4973168009519578,-9.583348472714423,0.0,0.0,3,H
221,103.2,3.5999999046325684,348.0,21.451385498046875,21.501596450805664,0.0503441754026577,0.070365905211074,-0.0627589389867261,-0.0079683978110551,0.0516784489154815,-0.1000886708498001,-0.2730616088211537,0.5295618563890457,-9.651173835396769,0.0,0.0,3,H
221,103.4,3.400000095367432,348.0,21.59537124633789,18.599199295043945,0.051768131460739,0.0677529651307652,-0.0524448634277425,0.0406663939356803,-0.0201824884861707,-0.0002399428194621,-0.008591734226793,0.3564198806136847,-9.7997065615654,0.0,0.0,3,H
221,103.5,3.299999952316284,349.0,21.496458053588867,20.8813591003418,0.0415722045401645,0.0727436303267535,-0.0740116345778728,0.0287704300135374,0.0181374438107013,0.0852519646286964,0.0100408387184143,0.2608864084817469,-9.580112623572347,0.0,0.0,3,H
221,103.71,3.299999952316284,347.0,21.5064754486084,20.284975051879886,0.0295336884283577,0.0635742231585925,-0.1087609446793798,0.0148009257391095,0.0791252329945564,0.0727378204464912,-0.0712527264095842,0.3903985624015331,-9.5792688703537,0.0,0.0,3,H
221,103.81,3.299999952316284,347.0,21.49270248413086,20.8734073638916,0.0273967797796182,0.0604038128056201,-0.1276876775732859,0.0060755456797778,0.0222744531929492,-0.0382320582866668,-0.0123951104655861,0.5578735629469157,-9.598221450448037,0.0,0.0,3,H
221,103.91,3.299999952316284,343.0,21.451385498046875,21.326658248901367,0.0540031581941726,0.0509251344253227,-0.1592819954245575,-0.0704460218548774,0.0761428102850914,-0.1428167819976806,0.032335723824799,0.6104142673686147,-9.624796460866929,0.0,0.0,3,H
221,104.1,3.299999952316284,344.0,21.56532096862793,19.01269149780273,0.0242502485363499,0.0136713142256323,-0.1723421629018168,-0.0020808172412216,-0.0431578047573566,-0.1427824199199676,-0.0119025373645126,0.466918807849288,-9.621733689308169,0.0,0.0,3,H
221,104.2,3.299999952316284,343.0,21.51899528503418,21.366416931152344,0.018629670224403,0.004050343431861,-0.2115676689206252,0.0421764142811298,0.0664432421326637,-0.0554493218660354,-0.1095903612859547,0.3743855237960816,-9.447211843729018,0.0,0.0,3,H
221,104.41,3.299999952316284,342.0,21.336196899414062,23.4179744720459,-0.0126518008843079,-0.0192917906046746,-0.1864350121058576,0.0454124622046947,0.0032398526091128,-0.0996376350522041,-0.1546554735861718,0.4313910524547101,-9.684056237339972,0.0,0.0,3,H
221,104.6,3.299999952316284,339.0,21.34996795654297,22.84544563293457,-0.0097311605575269,-0.0239475782935191,-0.120724869968283,0.0801788717508316,0.1861258596181868,0.0652585476636886,0.1394768783356994,0.4064803057909012,-10.14155817747116,0.0,0.0,3,H
